title,role,county,level,posted,ai_ask
SEO Lead,Brand,Kildare,Manager,2026-08-11,None
CRM and email Lead,Head of marketing,Meath,Executive,2026-06-02,None
Head of Marketing operations Lead,Ecommerce,Wexford,Manager,2026-06-27,Sell an AI product
Junior Digital marketing Lead,Head of marketing,Wexford,Head,2026-09-15,Be found in AI search
Events Manager,Head of marketing,Wexford,Manager,2026-08-06,None
Head of Marketing operations Lead,Brand,Louth,Head,2026-07-06,Lead or buy AI
CRM and email Lead,SEO,Wicklow,Executive,2026-08-08,Be found in AI search
Head of Marketing operations Specialist,Head of marketing,Wicklow,Executive,2026-07-06,Be found in AI search
Junior Digital marketing Lead,Ecommerce,Kildare,Executive,2026-06-17,Be found in AI search
CRM and email Lead,Brand,Donegal,Manager,2026-09-08,Sell an AI product
Events Manager,Head of marketing,Meath,Executive,2026-07-24,Lead or buy AI
CRM and email Lead,Brand,Meath,Manager,2026-07-29,Lead or buy AI
CRM and email Lead,Performance and paid,Kildare,Head,2026-07-01,Lead or buy AI
Head of Marketing operations Lead,Head of marketing,Mayo,Executive,2026-08-13,Be found in AI search
Junior Digital marketing Lead,Performance and paid,Meath,Manager,2026-07-26,Lead or buy AI
Senior SEO Lead,Head of marketing,Wicklow,Head,2026-07-22,Lead or buy AI
Head of Marketing operations Lead,SEO,Wexford,Head,2026-07-01,Sell an AI product
Senior SEO Lead,Head of marketing,Wexford,Manager,2026-07-01,Lead or buy AI
Junior Digital marketing Lead,Head of marketing,Wicklow,Executive,2026-09-06,Lead or buy AI
Junior Digital marketing Lead,Brand,Donegal,Head,2026-09-06,Lead or buy AI
CRM and email Lead,Performance and paid,Wicklow,Head,2026-06-07,Lead or buy AI
Junior Digital marketing Lead,Performance and paid,Wicklow,Manager,2026-07-23,Be found in AI search
SEO Lead,Ecommerce,Mayo,Manager,2026-08-16,Be found in AI search
Senior Performance and paid Executive,Brand,Wicklow,Executive,2026-09-08,Sell an AI product
Junior Digital marketing Lead,Head of marketing,Wicklow,Manager,2026-05-31,None
Junior Digital marketing Lead,Ecommerce,Wicklow,Executive,2026-06-04,Be found in AI search
SEO Lead,Head of marketing,Wexford,Manager,2026-09-17,Sell an AI product
CRM and email Lead,Brand,Mayo,Executive,2026-06-23,Be found in AI search
Head of Marketing operations Lead,Events,Wexford,Executive,2026-07-31,Lead or buy AI
Senior SEO Lead,Events,Wexford,Executive,2026-08-10,Lead or buy AI
Head of Marketing operations Specialist,Events,Mayo,Executive,2026-06-08,Lead or buy AI
Senior SEO Lead,Ecommerce,Wicklow,Manager,2026-08-28,None
Events Manager,SEO,Wicklow,Executive,2026-09-14,None
Head of Marketing operations Lead,Events,Wexford,Executive,2026-07-24,Sell an AI product
Senior SEO Lead,Head of marketing,Kildare,Manager,2026-08-22,Lead or buy AI
Junior Digital marketing Lead,Events,Wicklow,Executive,2026-09-07,Lead or buy AI
Events Manager,Brand,Kildare,Head,2026-09-02,Sell an AI product
Junior Digital marketing Lead,Performance and paid,Donegal,Manager,2026-05-31,None
Senior Performance and paid Executive,Brand,Wicklow,Manager,2026-06-10,Be found in AI search
Senior Performance and paid Executive,Events,Wicklow,Executive,2026-09-11,Lead or buy AI
CRM and email Lead,Head of marketing,Louth,Executive,2026-08-12,None
Senior Performance and paid Executive,Events,Meath,Head,2026-06-15,Be found in AI search
Events Manager,Head of marketing,Donegal,Executive,2026-06-12,Sell an AI product
Head of Marketing operations Specialist,Events,Wexford,Executive,2026-08-04,Sell an AI product
CRM and email Lead,Performance and paid,Wexford,Executive,2026-06-04,Lead or buy AI
Senior Performance and paid Executive,Head of marketing,Wexford,Executive,2026-08-11,None
Senior SEO Lead,SEO,Louth,Manager,2026-07-14,Be found in AI search
CRM and email Lead,Ecommerce,Donegal,Head,2026-05-27,None
Head of Marketing operations Lead,Events,Wexford,Executive,2026-08-28,None
Senior SEO Lead,Head of marketing,Louth,Executive,2026-07-26,Be found in AI search
Junior Digital marketing Lead,Events,Kildare,Executive,2026-05-30,None
Events Manager,Events,Louth,Manager,2026-05-25,None
Junior Digital marketing Lead,Brand,Louth,Executive,2026-07-17,Be found in AI search
Senior SEO Lead,Brand,Kildare,Executive,2026-07-01,None
SEO Lead,Brand,Louth,Manager,2026-06-04,None
Junior Digital marketing Lead,Head of marketing,Mayo,Executive,2026-06-29,None
Head of Marketing operations Specialist,Brand,Donegal,Executive,2026-08-08,Lead or buy AI
CRM and email Lead,Head of marketing,Wexford,Executive,2026-09-15,Be found in AI search
Events Manager,Events,Kildare,Head,2026-05-24,None
Senior SEO Lead,Head of marketing,Mayo,Head,2026-08-29,Sell an AI product
CRM and email Lead,Events,Donegal,Executive,2026-07-14,Lead or buy AI
Head of Marketing operations Specialist,Brand,Wicklow,Head,2026-07-19,None
Senior SEO Lead,Brand,Wicklow,Head,2026-09-12,Sell an AI product
Senior SEO Lead,Ecommerce,Kildare,Executive,2026-07-18,Lead or buy AI
Senior SEO Lead,Head of marketing,Wicklow,Executive,2026-06-17,Sell an AI product
Head of Marketing operations Specialist,Brand,Meath,Manager,2026-09-16,Lead or buy AI
Junior Digital marketing Lead,Events,Wexford,Manager,2026-07-28,Lead or buy AI
Senior SEO Lead,Brand,Louth,Executive,2026-08-22,Lead or buy AI
Head of Marketing operations Specialist,SEO,Wexford,Manager,2026-09-15,Sell an AI product
Senior Performance and paid Executive,Brand,Louth,Executive,2026-07-23,Be found in AI search
Senior Performance and paid Executive,SEO,Donegal,Executive,2026-09-04,None
SEO Lead,SEO,Kildare,Executive,2026-07-02,None
SEO Lead,Events,Wicklow,Executive,2026-07-09,None
CRM and email Lead,Head of marketing,Wexford,Manager,2026-08-03,Lead or buy AI
Senior Performance and paid Executive,SEO,Meath,Head,2026-06-20,None
Events Manager,Brand,Wicklow,Manager,2026-08-28,Be found in AI search
SEO Lead,SEO,Meath,Head,2026-09-02,None
SEO Lead,Performance and paid,Meath,Executive,2026-06-30,Sell an AI product
Events Manager,Ecommerce,Mayo,Executive,2026-09-18,Sell an AI product
SEO Lead,Brand,Meath,Executive,2026-07-12,Sell an AI product
Events Manager,Events,Meath,Executive,2026-06-28,None
Head of Marketing operations Specialist,Head of marketing,Kildare,Head,2026-09-08,Lead or buy AI
Junior Digital marketing Lead,Events,Meath,Manager,2026-08-01,Lead or buy AI
Senior Performance and paid Executive,Head of marketing,Louth,Executive,2026-08-06,Lead or buy AI
Head of Marketing operations Specialist,SEO,Kildare,Executive,2026-07-06,None
Senior SEO Lead,Performance and paid,Wicklow,Executive,2026-08-12,Lead or buy AI
Head of Marketing operations Specialist,Brand,Louth,Executive,2026-07-13,Lead or buy AI
Events Manager,Brand,Wicklow,Head,2026-07-26,Lead or buy AI
Junior Digital marketing Lead,Head of marketing,Meath,Manager,2026-07-17,Lead or buy AI
Senior Performance and paid Executive,SEO,Wicklow,Executive,2026-09-13,Sell an AI product
Head of Marketing operations Specialist,Brand,Kildare,Executive,2026-09-01,Sell an AI product
Head of Marketing operations Specialist,Performance and paid,Louth,Executive,2026-08-24,Lead or buy AI
CRM and email Lead,Brand,Donegal,Manager,2026-05-30,None
Senior SEO Lead,Ecommerce,Louth,Executive,2026-07-27,Sell an AI product
Senior SEO Lead,Head of marketing,Wicklow,Executive,2026-08-14,Be found in AI search
Senior Performance and paid Executive,Performance and paid,Meath,Manager,2026-07-16,Lead or buy AI
Events Manager,Brand,Mayo,Head,2026-07-13,Be found in AI search
Senior Performance and paid Executive,SEO,Wicklow,Executive,2026-08-29,Sell an AI product
Head of Marketing operations Lead,Head of marketing,Wicklow,Executive,2026-06-24,Lead or buy AI
SEO Lead,Head of marketing,Wicklow,Executive,2026-07-19,Be found in AI search
Events Manager,Brand,Louth,Executive,2026-08-09,None
Senior SEO Lead,Head of marketing,Wicklow,Executive,2026-07-03,Lead or buy AI
Junior Digital marketing Lead,Events,Meath,Executive,2026-08-05,Sell an AI product
Junior Digital marketing Lead,Events,Wicklow,Manager,2026-06-22,Sell an AI product
SEO Lead,Head of marketing,Mayo,Executive,2026-08-17,Lead or buy AI
Junior Digital marketing Lead,Ecommerce,Wicklow,Head,2026-05-26,None
Junior Digital marketing Lead,Performance and paid,Wicklow,Executive,2026-05-31,None
SEO Lead,Brand,Donegal,Head,2026-07-07,Lead or buy AI
Head of Marketing operations Lead,Head of marketing,Wicklow,Executive,2026-05-27,None
Head of Marketing operations Specialist,Head of marketing,Kildare,Head,2026-08-20,None
SEO Lead,Ecommerce,Mayo,Executive,2026-07-31,Sell an AI product
Head of Marketing operations Lead,Brand,Kildare,Executive,2026-05-30,Lead or buy AI
Events Manager,Brand,Kildare,Executive,2026-08-15,Lead or buy AI
Junior Digital marketing Lead,Events,Louth,Executive,2026-06-25,Sell an AI product
SEO Lead,Head of marketing,Donegal,Executive,2026-05-29,Sell an AI product
Senior SEO Lead,Brand,Mayo,Executive,2026-09-12,None
Junior Digital marketing Lead,Ecommerce,Louth,Executive,2026-07-24,Be found in AI search
Events Manager,Performance and paid,Mayo,Head,2026-08-15,Lead or buy AI
Senior SEO Lead,Events,Louth,Manager,2026-09-05,Be found in AI search
Senior Performance and paid Executive,Head of marketing,Wicklow,Executive,2026-09-02,Be found in AI search
Senior Performance and paid Executive,Events,Mayo,Head,2026-06-09,Lead or buy AI
Events Manager,Events,Donegal,Executive,2026-06-20,None
SEO Lead,Head of marketing,Wicklow,Executive,2026-09-14,None
Junior Digital marketing Lead,Ecommerce,Mayo,Manager,2026-07-13,Lead or buy AI
Junior Digital marketing Lead,Brand,Donegal,Executive,2026-07-24,Sell an AI product
Senior SEO Lead,Brand,Meath,Head,2026-08-13,Be found in AI search
SEO Lead,Performance and paid,Wicklow,Manager,2026-09-04,Be found in AI search
Senior SEO Lead,Performance and paid,Kildare,Executive,2026-07-20,Sell an AI product
Senior SEO Lead,Performance and paid,Meath,Manager,2026-08-11,Be found in AI search
Events Manager,SEO,Meath,Manager,2026-08-02,Be found in AI search
Senior SEO Lead,Brand,Wexford,Head,2026-06-22,Sell an AI product
Events Manager,SEO,Kildare,Manager,2026-07-21,None
Head of Marketing operations Lead,Brand,Wicklow,Executive,2026-08-02,None
Head of Marketing operations Specialist,Brand,Wexford,Manager,2026-09-01,None
Events Manager,Brand,Mayo,Head,2026-06-21,Be found in AI search
Senior SEO Lead,Head of marketing,Wexford,Head,2026-07-19,Lead or buy AI
Junior Digital marketing Lead,Events,Mayo,Manager,2026-06-14,Be found in AI search
Events Manager,Brand,Donegal,Head,2026-06-26,Lead or buy AI
Head of Marketing operations Specialist,Ecommerce,Mayo,Manager,2026-08-26,Be found in AI search
Senior SEO Lead,Head of marketing,Meath,Manager,2026-09-08,None
Head of Marketing operations Lead,Ecommerce,Meath,Head,2026-06-21,Sell an AI product
Senior SEO Lead,Head of marketing,Donegal,Manager,2026-08-13,Sell an AI product
SEO Lead,Ecommerce,Donegal,Executive,2026-09-06,Be found in AI search
CRM and email Lead,Brand,Mayo,Executive,2026-06-21,Be found in AI search
Head of Marketing operations Lead,Brand,Donegal,Manager,2026-09-19,Sell an AI product
Head of Marketing operations Specialist,Brand,Kildare,Head,2026-08-02,None
Senior Performance and paid Executive,Performance and paid,Wexford,Executive,2026-08-02,Be found in AI search
Events Manager,Head of marketing,Wicklow,Head,2026-09-13,Sell an AI product
CRM and email Lead,Events,Mayo,Executive,2026-07-24,Be found in AI search
Head of Marketing operations Specialist,Ecommerce,Meath,Manager,2026-08-13,Lead or buy AI
Senior SEO Lead,Head of marketing,Wicklow,Executive,2026-09-12,Be found in AI search
Senior SEO Lead,Brand,Louth,Executive,2026-09-18,Lead or buy AI
Senior Performance and paid Executive,Events,Wicklow,Executive,2026-07-13,Be found in AI search
Events Manager,Head of marketing,Meath,Manager,2026-07-24,Sell an AI product
SEO Lead,Brand,Kildare,Manager,2026-08-12,None
SEO Lead,Performance and paid,Wicklow,Executive,2026-07-21,None
Senior SEO Lead,Brand,Donegal,Head,2026-08-25,Be found in AI search
Senior SEO Lead,Head of marketing,Mayo,Manager,2026-09-19,Sell an AI product
Senior SEO Lead,Events,Mayo,Executive,2026-08-20,Lead or buy AI
Senior SEO Lead,Head of marketing,Meath,Manager,2026-09-18,Sell an AI product
CRM and email Lead,Brand,Wexford,Executive,2026-06-02,Sell an AI product
Senior SEO Lead,Performance and paid,Donegal,Manager,2026-09-12,None
Head of Marketing operations Lead,Performance and paid,Meath,Manager,2026-06-12,None
Senior SEO Lead,Head of marketing,Wicklow,Head,2026-07-05,Sell an AI product
Junior Digital marketing Lead,Brand,Wicklow,Executive,2026-07-24,None
Head of Marketing operations Lead,Events,Louth,Head,2026-07-31,Sell an AI product
Senior Performance and paid Executive,Performance and paid,Wicklow,Manager,2026-06-12,Sell an AI product
Senior SEO Lead,Head of marketing,Wicklow,Executive,2026-08-26,Be found in AI search
Senior Performance and paid Executive,SEO,Kildare,Manager,2026-09-11,None
Events Manager,Head of marketing,Wicklow,Executive,2026-08-06,None
SEO Lead,Ecommerce,Louth,Manager,2026-07-08,None
Head of Marketing operations Specialist,Ecommerce,Wicklow,Executive,2026-05-24,None
Senior Performance and paid Executive,SEO,Louth,Head,2026-06-21,None
Senior Performance and paid Executive,SEO,Kildare,Manager,2026-07-23,None
Head of Marketing operations Lead,Ecommerce,Louth,Head,2026-08-01,Be found in AI search
Senior Performance and paid Executive,Head of marketing,Wicklow,Manager,2026-08-06,Sell an AI product
Head of Marketing operations Lead,Events,Meath,Executive,2026-08-19,None
Head of Marketing operations Specialist,Brand,Wexford,Manager,2026-06-08,None
Head of Marketing operations Lead,Head of marketing,Wexford,Executive,2026-06-01,Lead or buy AI
CRM and email Lead,Events,Donegal,Executive,2026-07-05,Sell an AI product
Head of Marketing operations Lead,Brand,Donegal,Manager,2026-07-31,None
Events Manager,SEO,Wicklow,Executive,2026-07-26,Lead or buy AI
Senior Performance and paid Executive,Brand,Wicklow,Executive,2026-05-30,Sell an AI product
Head of Marketing operations Lead,Events,Wexford,Manager,2026-09-05,Lead or buy AI
Head of Marketing operations Specialist,Brand,Wicklow,Executive,2026-07-12,Sell an AI product
Head of Marketing operations Specialist,SEO,Donegal,Manager,2026-08-30,Lead or buy AI
Junior Digital marketing Lead,Brand,Wexford,Executive,2026-06-01,Be found in AI search
Head of Marketing operations Specialist,Head of marketing,Kildare,Executive,2026-05-28,None
Head of Marketing operations Specialist,Events,Louth,Executive,2026-09-18,Lead or buy AI
CRM and email Lead,Brand,Wicklow,Head,2026-07-12,Be found in AI search
Junior Digital marketing Lead,Brand,Wicklow,Executive,2026-07-30,Lead or buy AI
Junior Digital marketing Lead,Brand,Wicklow,Manager,2026-06-03,Lead or buy AI
Senior SEO Lead,Performance and paid,Donegal,Head,2026-06-30,Be found in AI search
Head of Marketing operations Specialist,Events,Meath,Head,2026-06-09,Sell an AI product
Junior Digital marketing Lead,Ecommerce,Kildare,Executive,2026-06-10,Lead or buy AI
Head of Marketing operations Lead,Ecommerce,Louth,Executive,2026-07-24,Sell an AI product
SEO Lead,Brand,Wexford,Executive,2026-07-10,Be found in AI search
SEO Lead,Head of marketing,Donegal,Executive,2026-05-23,None
Head of Marketing operations Lead,Head of marketing,Louth,Head,2026-09-11,Lead or buy AI
SEO Lead,Brand,Louth,Head,2026-08-27,Be found in AI search
SEO Lead,Head of marketing,Wicklow,Head,2026-09-18,Be found in AI search
Senior Performance and paid Executive,Head of marketing,Kildare,Executive,2026-09-02,None
SEO Lead,Ecommerce,Mayo,Manager,2026-07-24,Be found in AI search
Events Manager,Head of marketing,Kildare,Manager,2026-07-29,None
SEO Lead,SEO,Louth,Executive,2026-08-03,Lead or buy AI
CRM and email Lead,Ecommerce,Meath,Executive,2026-09-09,Sell an AI product
Head of Marketing operations Lead,Brand,Wicklow,Manager,2026-07-20,Lead or buy AI
Head of Marketing operations Lead,Head of marketing,Wexford,Executive,2026-06-13,Be found in AI search
Head of Marketing operations Specialist,Ecommerce,Wicklow,Executive,2026-08-28,Sell an AI product
Junior Digital marketing Lead,SEO,Donegal,Head,2026-07-18,Lead or buy AI
Head of Marketing operations Specialist,Events,Wicklow,Executive,2026-06-30,Lead or buy AI
Junior Digital marketing Lead,Ecommerce,Louth,Manager,2026-09-15,Sell an AI product
Events Manager,Ecommerce,Wexford,Head,2026-08-26,Lead or buy AI
Senior SEO Lead,Events,Donegal,Manager,2026-09-10,None
